id	title	issue	year	variant	class	action	proposed_new_title	index_collision	collides_with	clean_peer_ids	convergence_loser_to	fmv_rows	fmv_rows_with_data	bid_links	created_at
343	Iron Man #126 (Marvel Comics September 1979) VF Condition!	126	1979		B-full-listing-title	delete		YES	311	311		1	0	0	2026-06-03 12:51:14
344	Iron Man #125 Newsstand Variant (Marvel Comics August 1979) FN/VF Condition!	125	1979		B-full-listing-title	delete		YES	310	310		1	0	0	2026-06-03 12:51:14
345	The Mighty Thor #164 (Marvel Comics May 1969) FN/VF Condition!	164	1969		B-full-listing-title	delete		YES	358	358		1	0	0	2026-06-03 12:51:14
346	The Uncanny X-Men #212 (Marvel Comics December 1986) VF condition	212	1986		B-full-listing-title	delete		YES	359	137,359,378		1	0	0	2026-06-03 12:51:14
347	Iron Man #124 Newsstand Variant (Marvel Comics July 1979) FN/VF Condition!	124	1979		B-full-listing-title	delete		YES	265	265,578		1	0	0	2026-06-03 12:51:14
348	The X-Men #132 (Marvel Comics April 1980) FN- condition	132	1980		B-full-listing-title	delete		YES	360	360,368		1	0	0	2026-06-03 12:51:14
349	The Uncanny X-Men #201 (Marvel Comics January 1986) VF- condition	201	1986		B-full-listing-title	delete		YES	361	361,401		1	0	0	2026-06-03 12:51:14
350	The X-Men #107 (Marvel Comics October 1977) FN- condition	107	1977		B-full-listing-title	delete		YES	362	362,369		1	0	0	2026-06-03 12:51:14
351	The Uncanny X-Men #213 (Marvel Comics January 1987) VF condition	213	1987		B-full-listing-title	delete		YES	363	138,363,395		1	0	0	2026-06-03 12:51:14
352	The Uncanny X-Men #211 (Marvel Comics November 1986) VF condition	211	1986		B-full-listing-title	delete		YES	364	135,364		1	0	0	2026-06-03 12:51:14
353	The Uncanny X-Men #222 (Marvel Comics October 1987) VF- condition	222	1987		B-full-listing-title	delete		YES	365	365,571		1	0	0	2026-06-03 12:51:14
354	The Uncanny X-Men #210 (Marvel Comics October 1986) FN/VF condition	210	1986		B-full-listing-title	delete		YES	366	136,366		1	0	0	2026-06-03 12:51:14
355	The Mighty Thor #127 (FN+) 1st App of Pluto & Hippolyta	127	1966		B-full-listing-title	delete		YES	367	367		1	0	0	2026-06-03 12:51:14
356	Fantastic Four #63 (NM+) Blastaar the Living Bomb-Burst	63	1967		B-full-listing-title	delete		YES	223	223		1	0	0	2026-06-03 12:51:14
357	Green Lantern #86 (VF) Neal Adams Anti-Drug Story	86	1971		B-full-listing-title	delete		YES	219	219		1	0	0	2026-06-03 12:51:14
402	Absolute Martian Manhunter #10	10			A-doubled-only	delete		YES	412	412		1	0	0	2026-06-05 07:34:24
403	Absolute Martian Manhunter #1 Javier Rodriguez Cover	1			C-variant-designation	delete		no		413		1	0	0	2026-06-05 07:34:24
404	Absolute Green Lantern #10	10			A-doubled-only	delete		YES	414	414		1	0	0	2026-06-05 07:34:24
405	Absolute Green Lantern #9 Jahnoy Lindsay Cover	9			C-variant-designation	delete		YES	415	415		1	0	0	2026-06-05 07:34:24
406	Absolute Green Lantern #8 Jahnoy Lindsay Cover	8			C-variant-designation	delete		YES	416	416		1	0	0	2026-06-05 07:34:24
