id	title	issue	year	variant	action	proposed_new_title	index_collision	collides_with	twin	src_bid	ebay_title	fmv_rows	fmv_rows_with_value	bid_links	bid_fmv_id_refs	created_at	why
201	Avengers Bronze age 1st Squadron Supreme	85	None	None	rewrite	Avengers	no		172	152	Avengers #85 Bronze age 1st Squadron Supreme Key VF- Beauty Wow  Z	1	1	1	1	2026-05-23 06:56:30	Carries the REAL fmv (212: 7.5/40-45/comps=2) and the bid_fmvs link for bid 152, and bids.fmv_id=212 points at it. Deleting would sever both. Twin 172 'Avengers' #85/1971 holds an identical fmv (184), so the rewrite hands this to the existing yearless-orphan merge.
202	Avengers Bronze age Daredevil Fine+	82	None	None	delete		no		173	153	Avengers  82 Bronze age Daredevil Fine+ Beauty Wow Z	0	0	0	0	2026-05-23 06:56:30	Inert shell: 0 fmv rows, 0 bid links. bid 153 already re-points to fmv 185 on twin 173 'Avengers' #82/1970, which carries real comps.
203	Avengers Bronze age 1st Lethal Legion Story FVF	79	None	None	delete		no		205	154	Avengers #79 Bronze age 1st Lethal Legion Story FVF Beauty Wow Z	0	0	0	0	2026-05-23 06:56:30	Inert shell: 0 fmv rows, 0 bid links. bid 154 already re-points to fmv 214 on twin 205 'The Avengers' #79/1970. (Note 174 'Avengers' #79/1970 also exists — a pre-existing article-variant duplicate pair, out of scope here.)
204	Avengers Bronze age Vision Declares his love for Wanda	81	None	None	rewrite	Avengers	no		175	155	Avengers  81 Bronze age Vision Declares his love for Wanda VF- beauty Wow Z	1	1	1	1	2026-05-23 06:56:30	fmv 213 has comps=0 (so it fails BUI-596's 'real data' predicate) but low/high ARE populated (15/25, 'using prior DB value'), it holds the bid_fmvs link for bid 155, and bids.fmv_id=213. Delete would sever a live link, so this is a rewrite. Twin 175 has the strictly better fmv 187 (same 7.5/15-25, comps=1).
314	Avengers Silver age	10	None	None	delete		no		187	166	Avengers #10 Silver age 1st Immortus Key Nice VGF Wow	0	0	0	0	2026-06-03 04:17:14	Pure orphan: 0 fmv rows, 0 bid links, and bid 166 has fmv_id NULL. Twin 187 'Avengers' #10/1964 carries the real fmv.
315	Avengers Silver age Black Panther Joins	52	None	None	rewrite	Avengers	no		232	168	Avengers #52 Silver age Black Panther Joins VG+ Wow Z	1	0	1	1	2026-06-03 04:17:14	fmv 341 is an empty shell BUT holds the bid_fmvs link for bid 168, which is WON, and bids.fmv_id=341. Deleting would sever a won auction from its FMV. Rewriting lets the merge reparent that link onto twin 232's real fmv 250 (4.5/40-60/comps=4) — a strict upgrade.
316	Avengers Silver age	54	None	None	delete		no		233	169	Avengers #54 Silver age 1st Ultron Cameo Key Fine- Wow Z	0	0	0	0	2026-06-03 04:17:14	Pure orphan: 0 fmv rows, 0 bid links, bid 169 has fmv_id NULL. Twin 233 'Avengers' #54/1968 carries the real fmv.
328	Hulk Annual Silver age Steranko Inhumans	1	None	None	rewrite	Incredible Hulk Annual	no		312	244	Incredible Hulk Annual #1 Silver age Steranko Key Inhumans VF- Beauty Wow z	1	0	1	1	2026-06-03 04:17:14	fmv 350 is an empty shell but holds the bid_fmvs link for bid 244 and bids.fmv_id=350, so delete is unsafe. The correct masthead is 'Incredible Hulk Annual' — a token the stored title does NOT contain; it comes from the source listing and matches twin 312's spelling. (308 'Incredible Hulk King Size Special' #1/1968 is the same physical book under its cover name — a pre-existing duplicate, out of scope.)
339	Iron Man Bronze age Layton Sub-mariner Fine	120	None	None	delete		no		266	270	Iron Man  120 Bronze age Layton Sub-mariner Fine- Wow z	0	0	0	0	2026-06-03 04:17:14	Inert shell: 0 fmv rows, 0 bid links. bid 270 re-points to fmv 334 on twin 266 'Iron Man' #120/1979.
340	Iron Man Bronze age	122	None	None	delete		no		309	271	Iron Man  122 Bronze age VF+ Beauty Wow z	1	0	0	0	2026-06-03 04:17:14	Carries fmv 363 but it is a pure empty shell (low/high/comps all NULL) with 0 bid_fmvs links and 0 bids.fmv_id references. bid 271 re-points to fmv 335 on twin 309 'Iron Man' #122/1979.
341	Iron Man Bronze age Layton	125	None	None	delete		no		310	272	Iron Man  125 Bronze age Layton VF Beauty Wow z	1	0	0	0	2026-06-03 04:17:14	Carries fmv 364 but it is a pure empty shell with 0 bid_fmvs links and 0 bids.fmv_id references. bid 272 re-points to fmv 336 on twin 310 'Iron Man' #125/1979.
342	Iron Man Bronze age Layton	126	None	None	delete		no		311	273	Iron Man  126 Bronze age Layton 1st Hammer Fine Wow z	0	0	0	0	2026-06-03 04:17:14	Inert shell: 0 fmv rows, 0 bid links. bid 273 re-points to fmv 337 on twin 311 'Iron Man' #126/1979.
